,citing author name,citing paper title,cited paper title,affiliation,latitude,longitude,county,city,state,country
37,Xin Zhao,The development and predictors of a preference for strivers over naturals in the United States and China,Emerging complexity in children's conceptualization of the wealthy and the poor,East China Normal University,31.2284923,121.40211388976886,,Putuo District,Shanghai,China
38,Jessica Kay Flake,Construct validity and the validity of replication studies: A systematic review.,To which world regions does the valence–dominance model of social perception apply?,McGill University,45.50688675,-73.57908551043636,Urban agglomeration of Montreal,Montreal,Quebec,Canada
39,Richard E Ahl,Children hold an intuitive economic theory of diminishing marginal utility,Emerging complexity in children's conceptualization of the wealthy and the poor,Boston College,42.3354481,-71.16826648999114,Middlesex County,Newton,Massachusetts,United States
40,Stefan Uddenberg,Deep models of superficial face judgments,To which world regions does the valence–dominance model of social perception apply?,University of Illinois Urbana-Champaign,40.076154450000004,-88.22331340640494,Champaign County,Urbana,Illinois,United States
41,Lin Bian,The impact of sufferers' wealth status on pain perceptions: Its development and relation to allocation of healthcare resources,She succeeded despite lack of ability or resources: Children’s consideration of constraint in beliefs and reasoning about academic achievement.,University of Chicago,41.79139685,-87.60084387193544,Cook County,Chicago,Illinois,United States
42,Bertolt Meyer," Perceived diversity in teams: Conceptualizations, effects, and new research avenues",Hard to disrupt: Categorization and enumeration by gender and race from mixed displays,Technische Universität Chemnitz,50.8142025,12.92936218099157,,Chemnitz,Saxony,Germany
43,Tara Mandalaywala,Does essentialism lead to racial prejudice? It is not so Black and White,Minimal but meaningful: Probing the limits of randomly assigned social identities,Boston University,42.350421499999996,-71.10322831831216,Suffolk County,Boston,Massachusetts,United States
44,Brandon Forys,Hear it here: Built environments predict ratings and descriptions of ambiguous sounds,Testing the automaticity features of the Affect Misattribution Procedure: The roles of awareness and intentionality,University of British Columbia,49.25783145,-123.24624198622213,Metro Vancouver Regional District,Electoral Area A,British Columbia,Canada
45,Timothy H. Parker,Build up big-team science,To which world regions does the valence–dominance model of social perception apply?,Whitman College,46.0705665,-118.33031775014607,Walla Walla County,Walla Walla,Washington,United States
46,Thomas L. Griffiths,Beyond playing 20 questions with nature: Integrative experiment design in the social and behavioral sciences,To which world regions does the valence–dominance model of social perception apply?,Computer Science,40.80899825,-73.95987847188215,New York County,New York,New York,United States
47,Paul H. P. Hanel,When Reality Meets Perception: Well-Being Effects of Objective and Subjective Person-Culture Matches in Religiosity,A many-analysts approach to the relation between religiosity and well-being,University of Essex,51.8773639,0.9498750625114011,Essex,Colchester,England,United Kingdom
48,Selin Gülgöz,Children's gender essentialism and prejudice: Testing causal links via an experimental manipulation,Testing the limits of structural thinking about gender,Fordham University,40.861734350000006,-73.88603169298054,,New York,New York,United States
49,Gaye Soley,Children intend to teach conventional but not moral norms selectively to ingroup members.,Minimal but meaningful: Probing the limits of randomly assigned social identities,University of Barcelona,41.38685955,2.163478411827376,Barcelonès,Barcelona,Catalonia,Spain
50,Nadia Chernyak,"The good, the rich, and the powerful: How young children compensate victims of moral transgressions depending on moral character, wealth, and social dominance",Children’s restorative justice in an intergroup context,University of California - Irvine,33.6458956,-117.842799,Orange County,Irvine,California,United States
51,Peter A. Edelsbrunner,How to understand a research question—a challenging first step in setting up a statistical model,A many-analysts approach to the relation between religiosity and well-being,LMU Munich,48.1566081,11.5829267,,Munich,Bavaria,Germany
52,Ashley J. Thomas, Cognitive representations of social relationships and their developmental origins,Minimal but meaningful: Probing the limits of randomly assigned social identities,Harvard,42.365743249999994,-71.12221394207614,Middlesex County,Cambridge,Massachusetts,United States
53,Shaocong Ma, The impact of sufferers' wealth status on pain perceptions,She succeeded despite lack of ability or resources: Children’s consideration of constraint in beliefs and reasoning about academic achievement.,Technology,-0.2912908,36.0353719,Nakuru West,Kapkures ward,Nakuru,Kenya
54,Ryan M. Stolier,Facial impressions are predicted by the structure of group stereotypes,To which world regions does the valence–dominance model of social perception apply?,Facebook,-1.2772989,36.76095918258451,,Nairobi,Nairobi County,Kenya
55,John D. Coley,How does higher education in the social sciences impact social essentialist thinking?,Testing the limits of structural thinking about gender,Northeastern University,42.33895295,-71.0880555878772,Suffolk County,Boston,Massachusetts,United States
56,Kurt Hugenberg,[CITATION][C] 222 Perception of Faces and Bodies,Hard to disrupt: Categorization and enumeration by gender and race from mixed displays,Brain Sciences,43.7215637,-79.376836,,Toronto,Ontario,Canada
57,Travis Proulx,Beyond statistical ritual: Theory in psychological science,To which world regions does the valence–dominance model of social perception apply?,Cardiff University,51.4891343,-3.1822051,Cardiff,Cardiff,Wales,United Kingdom
58,Ipek Oruc, Face perception: A brief journey through recent discoveries and current directions,To which world regions does the valence–dominance model of social perception apply?,University of British Columbia,49.25783145,-123.24624198622213,Metro Vancouver Regional District,Electoral Area A,British Columbia,Canada
59,Hannah I Pearson,How do culture and religion interact worldwide? A cultural match approach to understanding religiosity and well-being in the Many Analysts Religion Project,A many-analysts approach to the relation between religiosity and well-being,Manoa,8.3494294,-62.6637382,,,Bolivar State,Venezuela
60,Manvir Singh,Prosocial religions as folk-technologies of mutual policing,In defense of the commons: Young children negatively evaluate and sanction free riders,"University of California, Davis",38.533790350000004,-121.79075439946112,Solano County,,California,United States
61,Yarrow Dunham,Beyond our tribe: Developing a normative sense of group-transcendent fairness.,Minimal but meaningful: Probing the limits of randomly assigned social identities,Yale University,41.25713055,-72.98966960152231,South Central Connecticut Planning Region,,Connecticut,United States
62,Robert Böhm,Heterogeneity in effect size estimates: Empirical evidence and practical implications,A many-analysts approach to the relation between religiosity and well-being,University of Vienna,48.2131469,16.35997,,Vienna,,Austria
63,Jacek Buczny,Many analysts and few incentives,A many-analysts approach to the relation between religiosity and well-being,Applied Psychology,50.8861436,4.6969507,Leuven,Leuven,Flemish Brabant,Belgium
64,Paulius Rimkevičius,"Being prosocial and happy, and believing in life-determining forces across cultures",A many-analysts approach to the relation between religiosity and well-being,Vilnius University,54.682847,25.28784063939981,,Vilnius,Vilnius County,Lithuania
65,Mel Win Khaw,Oversampling of minority categories drives misperceptions of group compositions,Hard to disrupt: Categorization and enumeration by gender and race from mixed displays,Microsoft,37.3974949,-122.0842646,Santa Clara County,Mountain View,California,United States
66,Xin Yang,Emerging complexity in children's conceptualization of the wealthy and the poor,Minimal but meaningful: Probing the limits of randomly assigned social identities,Yale University,41.25713055,-72.98966960152231,South Central Connecticut Planning Region,,Connecticut,United States
67,Yarrow Dunham,The development and predictors of a preference for strivers over naturals in the United States and China,Which group matters more: The relative strength of minimal vs. gender and race group memberships in children's intergroup thinking,Yale University,41.25713055,-72.98966960152231,South Central Connecticut Planning Region,,Connecticut,United States
68,Emily Gerdin,Expectations of intergroup empathy bias emerge by early childhood.,Which group matters more: The relative strength of minimal vs. gender and race group memberships in children's intergroup thinking,Yale University,41.25713055,-72.98966960152231,South Central Connecticut Planning Region,,Connecticut,United States
69,Frank Martela,"Being as having, loving, and doing: A theory of human well-being",A many-analysts approach to the relation between religiosity and well-being,"Aalto University, Finland",60.1860789,24.828102074406736,,Espoo,Uusimaa,Finland
70,Katherine McAuliffe,How retributive motives shape the emergence of third‐party punishment across intergroup contexts,Children’s restorative justice in an intergroup context,Boston College,42.3354481,-71.16826648999114,Middlesex County,Newton,Massachusetts,United States
71,Yarrow Dunham,Emerging complexity in children's conceptualization of the wealthy and the poor,Testing the limits of structural thinking about gender,Yale University,41.25713055,-72.98966960152231,South Central Connecticut Planning Region,,Connecticut,United States
72,Eva Jenkins,Consumer perceptions of food packaging in its role in fighting food waste,A many-analysts approach to the relation between religiosity and well-being,RMIT University,-37.80816075,144.96458315962926,,Melbourne,Victoria,Australia
73,Paul Bloom,Developing judgments about peers' obligation to intervene,In defense of the commons: Young children negatively evaluate and sanction free riders,Brooks,26.9879856,-98.2071041,Brooks County,,Texas,United States
74,Mitch Brown,Contextual factors that heighten interest in coalitional alliances with men possessing formidable facial structures,To which world regions does the valence–dominance model of social perception apply?,University of Arkansas,36.0970389,-94.17033216657404,Washington County,Fayetteville,Arkansas,United States
75,Kyle Fischer,Being specific about generalisability,A many-analysts approach to the relation between religiosity and well-being,University of Auckland,-36.8660955,174.77373309361866,,Auckland,Auckland,New Zealand
76,David Speed,Testing the religion/spirituality-mental health curvilinear hypothesis using data from many-analysts religion project,A many-analysts approach to the relation between religiosity and well-being,University of New Brunswick,45.945520200000004,-66.64018605518207,York County,Fredericton,New Brunswick,Canada
77,Lin Bian,Children's social preference for peers engaged in brilliance-required activities: The impact of gender and race.,The development and predictors of a preference for strivers over naturals in the United States and China,University of Chicago,41.79139685,-87.60084387193544,Cook County,Chicago,Illinois,United States
78,Jordan W. Moon, The interaction of faith and science mindsets predicts perceptions of the relationship between religion and science,A many-analysts approach to the relation between religiosity and well-being,Evolution,41.7498292,44.7817689,,Tbilisi,,Georgia
79,Stephen Antonoplis,Unconstrained descriptions of Facebook profile pictures support high-dimensional models of impression formation,To which world regions does the valence–dominance model of social perception apply?,University of California,37.875499649999995,-122.23906851395179,Alameda County,Berkeley,California,United States
80,May Ling Halim,Testing the generalizability of minimal group attitudes in minority and majority race children,Children’s restorative justice in an intergroup context,California State University,34.1799047,-117.3263,San Bernardino County,San Bernardino,California,United States
81,Julia Marshall,Beyond punishment: psychological foundations of restorative interventions,To punish or to restore: how children evaluate victims' responses to immorality,Brown University,41.8186395,-71.4088008716793,Providence County,Providence,Rhode Island,United States
82,Harriet Over,Why is the literature on first impressions so focused on White faces?,To which world regions does the valence–dominance model of social perception apply?,University of York,53.9453903,-1.0314592943104675,York,,England,United Kingdom
83,Professor Christopher Ndubuisi Ngwu,Religiosity and well-being among Nigerians: Exploring the mediating role of fatalism,A many-analysts approach to the relation between religiosity and well-being,University of Nigeria,6.86410245,7.409739732182379,,,Enugu State,Nigeria
84,Ryan E Tracy,Preliminary evidence for neck musculature in shaping functional stereotypes of men's relationship motives,To which world regions does the valence–dominance model of social perception apply?,Basic,32.2184796,-88.7692138,Clarke County,,Mississippi,United States
85,Lindsay S. Ackerman,Cross-cultural comparisons in implicit and explicit age bias,To which world regions does the valence–dominance model of social perception apply?,Graduate Student,1.2916773,103.77967771121597,,Singapore,,Singapore
86,Julia Marshall,Children's judgments of interventions against norm violations: COVID-19 as a naturalistic case study,To punish or to restore: how children evaluate victims' responses to immorality,Brown University,41.8186395,-71.4088008716793,Providence County,Providence,Rhode Island,United States
87,Michael Tomasello,"Children are eager to take credit for prosocial acts, and cost affects this tendency",In defense of the commons: Young children negatively evaluate and sanction free riders,Duke University,36.00015569999999,-78.94422972195878,Durham County,Durham,North Carolina,United States
88,Jacek Buczny,Many analysts and few incentives,A many-analysts approach to the relation between religiosity and well-being,VU Amsterdam,52.3340539,4.865188201518784,,Amsterdam,North Holland,Netherlands
89,Julia Marshall,Children as assessors and agents of third-party punishment,Children’s restorative justice in an intergroup context,Brown University,41.8186395,-71.4088008716793,Providence County,Providence,Rhode Island,United States
90,James P. Dunlea,[BOOK][B] Children's and adults' reasoning about punishment's messages,Emerging complexity in children's conceptualization of the wealthy and the poor,Researcher,41.6567749,41.6398829,,Batumi,Autonomous Republic of Adjara,Georgia
91,Nicolás Alessandroni,How to build up big team science: A practical guide for large-scale collaborations,A many-analysts approach to the relation between religiosity and well-being,Concordia University,45.4952479,-73.57858216019235,Urban agglomeration of Montreal,Montreal,Quebec,Canada
92,Antonia Misch,Anticipation of future cooperation eliminates minimal ingroup bias in children and adults.,In defense of the commons: Young children negatively evaluate and sanction free riders,LMU Munich,48.1566081,11.5829267,,Munich,Bavaria,Germany
93,Xi Shen,Judging robot ability: How people form implicit and explicit impressions of robot competence.,Testing the automaticity features of the Affect Misattribution Procedure: The roles of awareness and intentionality,University of Pennsylvania,39.950394450000005,-75.19467130666834,Philadelphia County,Philadelphia,Pennsylvania,United States
94,Jing Xiao, Brain responses to self-and other-unfairness under resource distribution context: Meta-analysis of fMRI studies,In defense of the commons: Young children negatively evaluate and sanction free riders,School of Psychology,53.3816251,-1.493131,,Sheffield,England,United Kingdom
95,Emily Gerdin,Expectations of intergroup empathy bias emerge by early childhood.,Beyond our tribe: Developing a normative sense of group-transcendent fairness.,Yale University,41.25713055,-72.98966960152231,South Central Connecticut Planning Region,,Connecticut,United States
96,Julia Marshall,How retributive motives shape the emergence of third‐party punishment across intergroup contexts,Children’s restorative justice in an intergroup context,Brown University,41.8186395,-71.4088008716793,Providence County,Providence,Rhode Island,United States
97,R.I.M. Dunbar,The role of religion in adolescent mental health: faith as a moderator of the relationship between distrust and depression,A many-analysts approach to the relation between religiosity and well-being,University of Oxford,51.75870755,-1.2556684826092037,Oxfordshire,Oxford,England,United Kingdom
98,Linn M. Persson,People perception and stereotype-based responding: task context matters,Hard to disrupt: Categorization and enumeration by gender and race from mixed displays,University of Aberdeen,57.16452475,-2.1018363546621197,,Aberdeen City,Scotland,United Kingdom
99,Gil Diesendruck,"Children hold leaders primarily responsible, not entitled",In defense of the commons: Young children negatively evaluate and sanction free riders,Bar-Ilan University,32.069329249999996,34.84334338615306,,,Tel-Aviv District,Israel
100,Jessica D. Ayers,Is facial width-to-height ratio reliably associated with social inferences?,To which world regions does the valence–dominance model of social perception apply?,Boise State University,43.6031707,-116.20261074563308,Ada County,Boise,Idaho,United States
101,Xin Yang,The development and predictors of a preference for strivers over naturals in the United States and China,She succeeded despite lack of ability or resources: Children’s consideration of constraint in beliefs and reasoning about academic achievement.,Yale University,41.25713055,-72.98966960152231,South Central Connecticut Planning Region,,Connecticut,United States
102,Mahesh Srinivasan, Structural explanations lead young children and adults to rectify resource inequalities,Testing the limits of structural thinking about gender,UC Berkeley,37.875499649999995,-122.23906851395179,Alameda County,Berkeley,California,United States
103,Lisa Chalik, The development of intergroup bias: Social-cognitive foundations and pathways forward,Which group matters more: The relative strength of minimal vs. gender and race group memberships in children's intergroup thinking,Skidmore College,43.09871785354964,-73.78422856497147,Saratoga County,City of Saratoga Springs,New York,United States
104,L Taylor Phillips,"Person perception, meet people perception: Exploring the social vision of groups",Hard to disrupt: Categorization and enumeration by gender and race from mixed displays,New York University,40.729205300000004,-73.99501481290962,New York County,New York,New York,United States
105,Xin Zhao,The consideration of cost in evaluations of moral praiseworthiness among Chinese children,She succeeded despite lack of ability or resources: Children’s consideration of constraint in beliefs and reasoning about academic achievement.,East China Normal University,31.2284923,121.40211388976886,,Putuo District,Shanghai,China
106,Xin Ning,Quadratic polynomial guided fuzzy C-means and dual attention mechanism for medical image segmentation,Hard to disrupt: Categorization and enumeration by gender and race from mixed displays,Chinese Academy of Sciences,39.90933665,116.32971461228999,,Beijing,Beijing,China
107,Justin Sulik,Many analysts and few incentives,A many-analysts approach to the relation between religiosity and well-being,Cognition,-30.489793702978584,151.63592780902573,,Armidale,New South Wales,Australia
108,Eric van Dijk,"Ire and punishment: incidental anger and costly punishment in children, adolescents, and adults",In defense of the commons: Young children negatively evaluate and sanction free riders,Leiden University,52.1686355,4.459702754883444,,Leiden,South Holland,Netherlands
109,Zhen Wu,Children's restorative justice in an intergroup context,Minimal but meaningful: Probing the limits of randomly assigned social identities,Tsinghua University,40.002290450000004,116.3209629696906,,Haidian District,Beijing,China
110,Heidi Wechtler,The face of wrongdoing? An expectancy violations perspective on CEO facial characteristics and media coverage of misconducting firms,To which world regions does the valence–dominance model of social perception apply?,University of Newcastle,-32.89503071335315,151.69786625800776,,Newcastle,New South Wales,Australia
111,Rebecca Peretz-Lange,How does higher education in the social sciences impact social essentialist thinking?,Testing the limits of structural thinking about gender,Vassar College,41.6854718,-73.89349332938956,Dutchess County,,New York,United States
112,Melis Muradoglu,[BOOK][B] Children's and Adults' Thinking about the Sources of Success,Emerging complexity in children's conceptualization of the wealthy and the poor,Stanford University,37.431313849999995,-122.16936535498309,Santa Clara County,,California,United States
113,Ronda F. Lo,How do culture and religion interact worldwide? A cultural match approach to understanding religiosity and well-being in the Many Analysts Religion Project,A many-analysts approach to the relation between religiosity and well-being,Stanford University,37.431313849999995,-122.16936535498309,Santa Clara County,,California,United States
114,Rodney Tompkins,Expectations of intergroup empathy bias emerge by early childhood.,Beyond our tribe: Developing a normative sense of group-transcendent fairness.,University of California,37.875499649999995,-122.23906851395179,Alameda County,Berkeley,California,United States
115,Kellen Mermin-Bunnell,Developing judgments about peers' obligation to intervene,In defense of the commons: Young children negatively evaluate and sanction free riders,Emory University School of Medicine,33.7936353,-84.32217955647825,DeKalb County,Atlanta,Georgia,United States
116,Denny Borsboom,"Prevalence, patterns and predictors of paranormal beliefs in The Netherlands: a several-analysts approach",A many-analysts approach to the relation between religiosity and well-being,University of Amsterdam,52.36813335,4.889804155733945,,Amsterdam,North Holland,Netherlands
117,Jane Leer,The rich get richer? Children's reasoning about socioeconomic status predicts inclusion and resource bias.,Emerging complexity in children's conceptualization of the wealthy and the poor,San Diego State University,32.7761529,-117.07330366921886,San Diego County,San Diego,California,United States
118,Yumin Wang, Grilling the data: application of specification curve analysis to red meat and all-cause mortality,A many-analysts approach to the relation between religiosity and well-being,Harvard University,42.365743249999994,-71.12221394207614,Middlesex County,Cambridge,Massachusetts,United States
119,Carlota Batres,Examining the “attractiveness halo effect” across cultures,To which world regions does the valence–dominance model of social perception apply?,Marshall College,40.048987499999996,-76.32009869350804,Lancaster County,Lancaster,Pennsylvania,United States
120,Shaocong Ma, The impact of sufferers' wealth status on pain perceptions,She succeeded despite lack of ability or resources: Children’s consideration of constraint in beliefs and reasoning about academic achievement.,The Hong Kong University of Science,22.41868445,114.21446752013819,,Sha Tin District,Hong Kong,China
121,Kerri L. Johnson,Perception of faces and bodies,Hard to disrupt: Categorization and enumeration by gender and race from mixed displays,UCLA,34.070877749999994,-118.44685031405575,Los Angeles County,Los Angeles,California,United States
122,Analia Albuja,The rich get richer? Children's reasoning about socioeconomic status predicts inclusion and resource bias.,Emerging complexity in children's conceptualization of the wealthy and the poor,Northeastern University,42.33895295,-71.0880555878772,Suffolk County,Boston,Massachusetts,United States
123,Kirsten Morehouse,How do explicit and implicit evaluations shift? A preregistered meta-analysis of the effects of co-occurrence and relational information.,Testing the automaticity features of the Affect Misattribution Procedure: The roles of awareness and intentionality,Harvard University,42.365743249999994,-71.12221394207614,Middlesex County,Cambridge,Massachusetts,United States
124,Hilary Barth,Do demand characteristics contribute to minimal ingroup preferences?,Minimal but meaningful: Probing the limits of randomly assigned social identities,Wesleyan University,41.5559033,-72.65598837890627,Lower Connecticut River Valley Planning Region,Middletown,Connecticut,United States
125,Yarrow Dunham,Testing the limits of structural thinking about gender,Minimal but meaningful: Probing the limits of randomly assigned social identities,Yale University,41.25713055,-72.98966960152231,South Central Connecticut Planning Region,,Connecticut,United States
126,Robert M Ross,Many analysts and few incentives,A many-analysts approach to the relation between religiosity and well-being,Macquarie University,-33.774197,151.1127326987788,,Sydney,New South Wales,Australia
127,Elif Çelebi,Together we stand? Belonging motive moderates the effect of national ingroup salience on attitudes towards ethnic minorities,Minimal but meaningful: Probing the limits of randomly assigned social identities,Thrive Wellbeing Centre,25.0725763,55.1422974,,,Dubai,United Arab Emirates
128,Claudia G. Sehl,Local or foreign? Flexibility in children's preference for similar others.,Minimal but meaningful: Probing the limits of randomly assigned social identities,University of Waterloo,43.4701994,-80.54524293779451,Region of Waterloo,Waterloo,Ontario,Canada
129,Esther Herrmann,Chimpanzees consider freedom of choice in their evaluation of social action,In defense of the commons: Young children negatively evaluate and sanction free riders,University of Portsmouth,50.795245,-1.0935528683212405,,Portsmouth,England,United Kingdom
130,Dylan Wiwad,Does belief in free will increase support for economic inequality?,In defense of the commons: Young children negatively evaluate and sanction free riders,Slack,53.6537065,-1.876206,,Kirklees,England,United Kingdom
131,Xin Ning,Quadratic polynomial guided fuzzy C-means and dual attention mechanism for medical image segmentation,Hard to disrupt: Categorization and enumeration by gender and race from mixed displays,Institute of semiconductors,40.00513905,116.33839347287326,,Haidian District,Beijing,China
132,Yarrow Dunham, The institutional stance,Testing the limits of structural thinking about gender,Yale University,41.25713055,-72.98966960152231,South Central Connecticut Planning Region,,Connecticut,United States
